SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,0,-1.2774445836787656,0,0,1,0,0,1,-1.1603229160349193,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0.06632741908223598,0,1,0,1,0,0,-0.2596289419448806,1,0,0,0,1,0,0,0,0,1,0
0,0,0,-1.2367242199587352,0,1,1,0,0,1,-0.3626603559551803,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0.5142514200025698,0,1,0,1,1,0,-0.7465354629935549,1,0,0,0,1,0,1,0,0,0,0
0,0,0,-1.2367242199587352,0,0,0,0,0,1,0.19736523310080326,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.9924020376385531,1,0,0,1,0,1,1.1595456961969886,0,1,0,1,0,0,0,0,1,0,1
0,0,1,-0.4223169455581282,1,0,1,0,0,1,0.8089065291619363,0,1,0,1,0,0,0,1,0,0,0
0,0,0,-0.9109613101984924,0,1,0,0,0,0,-1.1636465100352518,1,0,0,1,0,0,0,0,0,1,0
0,1,0,-0.1779947632379461,1,0,0,1,1,1,1.330710787214099,0,1,0,1,0,0,0,0,1,0,1
0,0,1,1.2064976032430856,0,1,1,0,0,0,-0.28621769394753876,1,0,0,0,1,0,1,0,0,0,0
0,1,1,-0.7888002190384014,0,1,0,0,0,1,-0.4922805219681379,1,0,0,1,0,0,0,0,0,1,0
0,0,0,-0.6666391278783103,0,0,0,0,0,0,-1.5225946620711341,0,0,1,0,0,1,0,1,0,0,0
0,1,0,1.0436161483629645,1,0,0,1,0,0,1.182810854199314,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0.6771328748826912,1,0,1,1,0,1,1.2941512532104444,0,1,0,1,0,0,1,0,0,0,1
0,0,0,-0.30015585439803716,0,1,0,1,1,1,1.3539759452164248,0,1,0,1,0,0,0,0,1,0,0
0,1,1,1.4915401492832983,1,1,1,1,1,0,1.611554480242174,0,1,0,0,0,1,0,1,0,0,0
0,0,0,0.7992939660427822,0,0,0,0,0,0,-1.4660935640654862,0,0,1,0,1,0,0,0,0,1,0
0,0,1,1.5729808767233588,1,1,0,1,0,0,1.393859073220412,0,1,0,0,0,1,1,0,0,0,0
0,1,1,-0.9109613101984924,0,0,0,1,1,0,-0.31779183695069496,1,0,0,1,0,0,0,1,0,0,1
0,0,0,-0.46303730927815856,0,0,1,1,0,1,0.8404806721650927,0,1,0,1,0,0,0,0,1,0,0
1,0,0,-1.2774445836787656,0,0,0,1,0,1,-0.8346107040023594,1,0,0,1,0,0,0,0,1,0,1
0,1,0,-0.8295205827584317,0,0,0,0,0,0,-1.4943441130683104,0,0,1,0,1,0,1,0,0,0,0
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4827115340671475,0,0,1,1,0,0,0,0,0,1,1
0,1,0,1.0436161483629645,1,0,1,0,1,1,-0.1615829189350795,1,0,0,0,0,1,0,1,0,0,0
0,1,1,0.6771328748826912,0,1,1,0,1,0,-0.17155370093607614,1,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0965540357978854,0,1,1,0,0,1,-0.31446824295036285,1,0,0,1,0,0,1,0,0,0,0
0,1,1,0.5956921474426305,1,0,1,0,0,1,1.1495749141959914,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-1.2774445836787656,0,0,1,0,0,0,-1.1486903370337564,1,0,0,1,0,0,0,0,1,0,1
0,1,0,1.6137012404433893,1,1,1,1,1,1,0.8471278601657574,1,0,0,0,0,1,0,1,0,0,0
0,0,1,-0.62591876415828,0,0,0,0,0,1,-0.0020504069191315333,1,0,0,1,0,0,0,0,0,1,1
1,1,0,1.5729808767233588,1,1,1,1,1,1,1.0498670941860242,0,1,0,0,0,1,0,1,0,0,0
1,1,0,-1.2367242199587352,0,0,0,1,0,1,1.0216165451832002,0,1,0,1,0,0,0,1,0,0,0
0,1,1,-0.21871512695797646,0,1,1,1,1,0,0.046141706085686136,1,0,0,0,1,0,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.481049737066981,0,0,1,1,0,0,1,0,0,0,0
1,0,0,-1.2774445836787656,0,0,0,0,0,0,-0.6484894399837535,1,0,0,1,0,0,1,0,0,0,0
0,1,1,1.6137012404433893,1,1,1,0,1,0,1.1678546811978192,0,1,0,0,0,1,1,0,0,0,0
0,0,0,-1.1145631287986442,0,0,0,0,0,1,0.16412929309748078,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.5549717837226001,0,0,0,1,0,1,0.33363258711442517,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0.06632741908223598,1,0,1,1,0,1,1.3822264942192488,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.8702409464784621,1,0,0,1,0,1,1.099721004191008,0,1,0,1,0,0,1,0,0,0,1
0,1,1,-0.9109613101984924,0,0,1,0,0,0,-0.5055748979694671,1,0,0,0,1,0,0,0,0,1,0
0,1,1,1.5322605130033284,1,1,1,0,0,1,0.14751132309581955,1,0,0,0,0,1,0,1,0,0,0
0,1,1,-0.62591876415828,0,0,0,0,0,0,-1.462769970065154,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1.247217966963116,1,1,1,1,1,1,0.5014740841312035,1,0,0,0,0,1,0,1,0,0,0
0,1,0,-0.7888002190384014,1,1,1,0,1,1,0.3801629031190768,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0.6771328748826912,1,0,0,0,0,1,0.6560212051466532,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-1.2367242199587352,0,0,1,0,0,0,-0.5155456799704636,1,0,0,1,0,0,0,0,0,1,0
0,0,0,-1.2367242199587352,0,0,0,0,0,1,0.5280628361338618,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.7992939660427822,1,1,0,0,1,1,0.4981504901308714,1,0,0,0,0,1,0,1,0,0,0
0,1,1,1.4915401492832983,1,1,0,1,1,1,-0.020330173920958795,1,0,0,0,0,1,0,1,0,0,0
1,0,0,0.43281069256250915,1,0,1,0,0,1,0.8471278601657574,0,1,0,1,0,0,0,0,1,0,0
0,0,0,-0.7073594915983407,0,1,1,0,0,1,1.141265929195161,0,1,0,1,0,0,0,1,0,0,1
1,1,0,-0.30015585439803716,1,1,0,0,1,1,0.1574821050968162,1,0,0,1,0,0,0,1,0,0,0
1,1,0,-0.9924020376385531,1,0,1,0,0,1,0.5280628361338618,0,1,0,1,0,0,0,1,0,0,1
1,1,1,1.125056875803025,0,1,1,1,1,1,0.33529438411459117,1,0,0,0,1,0,0,1,0,0,0
1,0,0,-0.5851984004382496,1,0,0,0,0,1,1.0199547481830342,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.247217966963116,1,1,0,0,0,1,1.1595456961969886,0,1,0,0,1,0,0,1,0,0,0
1,1,1,1.369379058123207,1,0,1,1,1,1,1.4520219682262263,0,1,0,0,1,0,0,0,1,0,0
0,1,1,0.06632741908223598,1,0,0,0,0,0,-1.3231790220511994,0,0,1,0,0,1,0,1,0,0,0
0,0,0,1.6137012404433893,1,0,0,1,1,1,1.42044782522307,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0.5956921474426305,1,0,0,1,0,1,1.1877962451998125,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1.125056875803025,1,0,1,0,0,1,0.8354952811645946,0,1,0,1,0,0,1,0,0,0,0
0,1,0,1.6137012404433893,0,1,1,1,0,0,-0.7531826509942192,1,0,0,0,0,1,1,0,0,0,0
0,1,1,-0.5851984004382496,0,0,0,1,1,1,-0.34438058895335305,1,0,0,0,1,0,0,1,0,0,0
0,0,0,-0.9516816739185228,1,0,0,0,0,0,0.9850570111795457,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.1960038562387048,0,0,1,0,1,1,0.3502505571160864,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0.5956921474426305,1,0,1,0,0,1,0.46989994112804756,0,1,0,0,1,0,0,0,1,0,0
0,0,0,-0.055833672077855064,0,0,1,1,1,0,0.47987072312904416,1,0,0,0,0,1,0,0,0,1,0
0,1,1,0.7178532386027215,0,0,0,0,0,0,-1.4827115340671475,0,0,1,0,0,1,1,0,0,0,0
0,0,0,-0.9109613101984924,0,1,0,1,0,1,0.5014740841312035,0,1,0,1,0,0,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,0,1,0,-0.5221928679711283,1,0,0,1,0,0,0,0,0,1,0
0,1,1,0.7992939660427822,0,0,0,0,0,1,-1.4744025490663168,0,0,1,0,1,0,0,0,1,0,0
1,1,1,1.2879383306831464,1,1,0,1,1,1,1.5567151792366918,0,1,0,0,0,1,1,0,0,0,0
0,1,1,1.2064976032430856,1,0,0,0,0,1,-1.3464441800535252,0,0,1,0,0,1,1,0,0,0,0
0,0,1,-1.1960038562387048,0,1,0,0,1,1,-0.00869759491979612,1,0,0,1,0,0,1,0,0,0,0
1,0,0,0.9621754209229036,1,1,1,1,0,0,1.5201556452330371,0,1,0,0,1,0,0,0,1,0,0
0,0,0,0.5549717837226001,0,0,0,0,0,0,-0.3028356639492,1,0,0,0,1,0,0,1,0,0,0
0,1,1,-0.9924020376385531,0,1,1,0,0,0,-0.33607160395252245,1,0,0,1,0,0,0,0,0,1,0
1,0,0,-0.0965540357978854,0,1,1,0,0,1,0.3319707901142591,1,0,0,1,0,0,0,0,1,0,0
0,1,1,0.5142514200025698,1,0,0,0,0,1,-1.2916048790480432,0,0,1,0,1,0,0,1,0,0,0
0,0,1,-1.2774445836787656,0,0,0,0,0,1,0.48485611412954227,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.8702409464784621,0,1,0,0,0,0,-0.47233895796614456,1,0,0,1,0,0,0,0,1,0,0
0,1,0,-1.0331224013585834,0,0,0,1,0,1,0.34526516611558833,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0.3920903288424788,0,0,1,1,1,1,1.2974748472107767,0,1,0,1,0,0,1,0,0,0,0
0,1,0,0.6771328748826912,0,0,0,0,0,1,-1.4827115340671475,0,0,1,0,0,1,1,0,0,0,0
0,0,0,-0.9516816739185228,1,0,1,0,0,1,1.1479131171958254,0,1,0,1,0,0,0,1,0,0,0
0,1,0,0.10704778280226633,0,1,0,0,0,1,-0.08680205392760396,1,0,0,0,1,0,1,0,0,0,0
0,1,1,0.6364125111626608,0,0,0,0,0,0,-1.4660935640654862,0,0,1,0,0,1,1,0,0,0,0
0,1,1,0.5549717837226001,0,0,0,0,0,1,-1.4893587220678117,0,0,1,0,0,1,0,0,0,1,0
0,1,0,-0.13727439951791576,0,0,0,0,0,0,-1.0307027500219619,1,0,0,1,0,0,0,0,0,1,0
0,1,1,-0.0965540357978854,0,0,1,1,0,0,0.574593152138513,0,1,0,1,0,0,1,0,0,0,0
1,0,0,-1.2774445836787656,0,0,0,0,1,0,0.3303089931140931,0,1,0,1,0,0,0,0,1,0,0
0,1,1,1.369379058123207,1,1,0,1,1,1,0.6394032351449919,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1.3286586944031769,1,1,1,1,0,1,1.5384354122348645,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1.6137012404433893,1,0,1,1,0,1,1.2010906212011416,0,1,0,0,0,1,1,0,0,0,0
0,0,0,-0.8295205827584317,1,1,0,0,0,1,0.47156173812821356,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.5729808767233588,1,1,1,0,1,1,0.06940686408801149,1,0,0,0,1,0,0,1,0,0,0
0,0,0,-1.1145631287986442,0,0,0,0,0,0,-1.4527991880641573,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0.7992939660427822,0,0,0,0,0,0,-1.4544609850643233,0,0,1,0,0,1,1,0,0,0,0
1,1,0,-0.30015585439803716,0,0,1,1,0,1,1.1213243651931677,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.481049737066981,0,0,1,1,0,0,0,0,0,1,0
