SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,-0.9684834549173535,0,0,0,1,0,0,0.544173323897724,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-0.6848650398756061,1,0,0,1,0,0,0,0,0,1,1
0,0,1,-0.7888002190384014,1,1,1,1,1,0,0.8039211381614382,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0.3106496014024181,1,0,0,0,0,1,1.074794049188516,0,1,0,1,0,0,1,0,0,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4810497370669808,0,0,1,1,0,0,0,0,0,1,0
1,0,0,-1.2658685005226407,1,0,0,0,0,1,0.6944870741795672,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.3920903288424788,0,1,1,1,0,0,-0.1698919039359101,1,0,0,1,0,0,1,0,0,0,0
0,0,0,0.14776814652229667,0,1,0,1,1,1,0.4798707231290442,1,0,0,1,0,0,0,1,0,0,0
0,0,0,0.4328106925625092,0,0,0,0,0,1,-1.4993295040688086,0,0,1,0,0,1,1,0,0,0,0
0,1,1,-1.1552834925186746,1,0,1,1,0,1,0.6659919871476498,0,1,0,1,0,0,1,0,0,0,1
0,0,0,1.4508197855632678,1,1,1,0,1,0,1.5118466602322065,0,1,0,0,0,1,0,1,0,0,0
1,1,0,-1.042836177130162,1,0,0,0,0,1,0.6655876618337762,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.015113308357824713,1,0,0,0,0,1,0.6942425361504742,0,1,0,1,0,0,1,0,0,0,0
0,0,1,-1.1960038562387048,1,0,0,1,0,0,0.9003053641710731,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,1,0,0,-0.46569698899016343,1,0,0,1,0,0,0,0,0,1,1
0,1,1,0.22920887396235734,0,0,0,0,0,0,-1.5009913010689746,0,0,1,0,1,0,0,1,0,0,0
1,0,0,-0.9924020376385532,1,0,1,1,0,1,1.3539759452164248,0,1,0,1,0,0,0,0,1,0,1
